Instance,Opcode,Description,ALU,Bytes,Cycles,Bold
IP_NOP,0x00,no operation,n,1,3,
IP_OUT,0x01,output A,n,1,3,
IP_CLC,0x03,clear carry flag,y,1,3,y
IM_CPX,0x06,compare X immediate,y,2,7,y
IM_CPY,0x07,compare Y immediate,y,2,7,y
IP_PHP,0x09,push PS,n,1,4,y
IP_RTS,0x0a,return from subroutine,n,1,5,
IN_JMP,0x0b,jump,n,2,5,
AA_ASL,0x0c,arithmetic shift left A,y,1,3,
IP_PLP,0x0f,pull PS,n,1,5,y
AA_NOT,0x10,NOT A,y,1,3,
IP_PHA,0x16,push A,n,1,4,
AA_LSR,0x18,logical shift left,y,1,4,
AA_ROL,0x19,rotate left thru carry,n,1,4,
AA_ROR,0x1a,rotate right thru carry,n,1,4,
AB_BIT,0x1b,bit test A with memory,y,2,5,
RE_BCC,0x1c,branch on carry clear,n,2,8,y
AB_JCC,0x1d,jump if carry clear,n,2,4,y
IP_PLA,0x1e,pull A,n,1,5,
AA_INA,0x20,increment A,y,1,3,
IM_LDA,0x21,load immediate to A,n,2,4,
IP_SEC,0x23,set carry flag,y,1,3,y
IM_SBC,0x26,subtract with carry,y,2,5,
IM_CMP,0x27,compare A immediate,y,2,5,y
IM_ADC,0x29,add with carry A,y,2,5,
AA_DEA,0x2f,decrement A,y,1,3,
IM_LDX,0x31,load immediate to X,n,2,4,y
IM_LDY,0x33,load immediate to Y,n,2,4,y
IM_EOR,0x36,XOR A,y,2,5,
IM_AND,0x3b,AND A,y,2,5,
RE_BCS,0x3c,branch on carry set,n,2,8,y
AB_JCS,0x3d,jump if carry set,n,2,4,y
IM_ORA,0x3e,OR A,y,2,5,
AB_INC,0x40,increment memory,y,2,7,
AB_LDA,0x41,load A from memory,n,2,5,
AB_STA,0x42,store A to memory,n,2,5,
IP_CLV,0x43,clear overflow flag,y,1,3,y
AB_SBC,0x46,subtract with carry memory,y,2,6,
AB_CMP,0x47,compare A,y,2,6,y
AB_ADC,0x49,add with carry memory,y,2,6,
AB_JSR,0x4a,jump to subroutine,n,2,7,
AB_JMP,0x4b,jump,n,2,4,
AB_ASL,0x4c,arithmetic shift left memory,y,1,7,
AB_DEC,0x4f,decrement memory,y,2,7,
AB_LDX,0x51,load X,n,2,5,y
AB_STX,0x52,store X,n,2,5,y
AB_LDY,0x53,load Y,n,2,5,y
AB_STY,0x54,store Y,n,2,5,y
AB_EOR,0x56,exlcusive OR A,y,2,6,
AB_LSR,0x58,logical shift right memory,n,2,8,
AB_ROL,0x59,rotate left thru carry memory,n,2,8,
AB_ROR,0x5a,rotate right thru carry memory,n,2,8,
AB_AND,0x5b,AND A,y,2,6,
RE_BNE,0x5c,branch if not equal (zero clear),n,2,8,y
AB_JNE,0x5d,jump if not equal (zero clear),n,2,4,y
AB_ORA,0x5e,OR A,y,2,6,
AX_INC,0x60,increment memory,y,2,8,
AX_LDA,0x61,load A from memory,n,2,6,
AX_STA,0x62,store A to memory,n,2,6,
AX_SBC,0x66,subtract with carry memory,y,2,7,
AX_CMP,0x67,compare A,y,2,7,y
AX_ADC,0x69,add with carry memory,y,2,7,
AX_ASL,0x6c,arithmetic shift left memory,y,1,8,
AX_DEC,0x6f,decrement memory,y,1,8,
IP_TAX,0x71,transfer A to X,n,1,3,y
IP_TXA,0x72,transfer X to A,n,1,3,y
AX_LDY,0x73,load Y,n,2,6,y
AX_STY,0x74,store Y,n,2,6,y
AX_EOR,0x76,exlcusive OR A,y,2,7,
AX_LSR,0x78,logical shift right memory,n,2,x,
AX_ROL,0x79,rotate left thru carry memory,n,2,x,
AX_ROR,0x7a,rotate right thru carry memory,n,2,x,
AX_AND,0x7b,AND A,y,2,7,
RE_BEQ,0x7c,branch if equal (zero set),n,2,8,y
AB_JEQ,0x7d,jump if equal (zero set),n,2,4,y
AX_ORA,0x7e,OR A,y,2,7,
AY_LDA,0x81,load A from memory,n,2,6,
AY_STA,0x82,store A to memory,n,2,6,
AY_SBC,0x86,subtract with carry memory,y,2,7,
AY_CMP,0x87,compare A,y,2,7,y
AY_ADC,0x89,add with carry memory,y,2,7,
AY_LDX,0x91,load X,n,2,6,y
AY_STX,0x92,store X,n,2,6,y
IP_TAY,0x93,transfer A to Y,n,1,3,y
IP_TYA,0x94,transfer Y to A,n,1,3,y
AY_EOR,0x96,exlcusive OR A,y,2,7,
AY_AND,0x9b,AND A,y,2,7,
RE_BVC,0x9c,branch if overflow clear,n,2,8,y
AB_JVC,0x9d,jump if overflow clear,n,2,4,y
AY_ORA,0x9e,OR A,y,2,7,
IP_INX,0xa0,increment X,y,1,6,
IX_LDA,0xa1,load A from memory,n,2,7,
IX_STA,0xa2,store A to memory,n,2,7,
IX_SBC,0xa6,subtract with carry memory,y,2,8,
IX_CMP,0xa7,compare A,y,2,8,y
IX_ADC,0xa9,add with carry memory,y,2,8,
IP_DEX,0xaf,decrement X,y,1,6,
IP_TSX,0xb1,transfer SP to X,n,1,3,y
IP_TXS,0xb2,transfer X to SP,n,1,3,y
IX_EOR,0xb6,exlcusive OR A,y,2,8,
IX_AND,0xbb,AND A,y,2,8,
RE_BVS,0xbc,branch if overflow set,n,2,8,y
AB_JVS,0xbd,jump if overflow set,n,2,4,y
IX_ORA,0xbe,OR A,y,2,8,
IP_INY,0xc0,increment Y,y,1,6,
IY_LDA,0xc1,load A from memory,n,2,7,
IY_STA,0xc2,store A to memory,n,2,7,
IY_SBC,0xc6,subtract with carry memory,y,2,8,
IY_CMP,0xc7,compare A,y,2,8,y
IY_ADC,0xc9,add with carry memory,y,2,8,
IP_DEY,0xcf,decrement Y,y,1,6,
IY_EOR,0xd6,exlcusive OR A,y,2,8,
IY_AND,0xdb,AND A,y,2,8,
RE_BPL,0xdc,branch if plus (minus clear),n,2,8,y
AB_JPL,0xdd,jump if plus (minus clear),n,2,4,y
IY_ORA,0xde,OR A,y,2,8,
